id,Attributes,Name,Slug,Quantity-50,Quantity-100,Quantity-250,Quantity-500,Quantity-1000,Quantity-2500,Quantity5000,"ocm-tlc-1 GB-50","ocm-tlc-1 GB-100","ocm-tlc-1 GB-250","ocm-tlc-1 GB-500","ocm-tlc-1 GB-1000","ocm-tlc-1 GB-2500","ocm-tlc-1 GB-5000","ocm-mlc-1 GB-50","ocm-mlc-1 GB-100","ocm-mlc-1 GB-250","ocm-mlc-1 GB-500","ocm-mlc-1 GB-1000","ocm-mlc-1 GB-2500","ocm-mlc-1 GB-5000","original-1 GB-50","original-1 GB-100","original-1 GB-250","original-1 GB-500","original-1 GB-1000","original-1 GB-2500","original-1 GB-5000"
10,print-position-1,"2 Färger (209-12-L)",209-12-l-sv,,7,5,4.50,4,3.50,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,print-position-1,"2 Färger (210-10S)",210-10s-sv,8,4,"3,50","2,50",2,"1,50",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12,print-position-1,"2 Färger (211-11M)",211-11m-sv,10,4,3,2.5,2.5,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13,print-position-1,"2 Färger (212-12L)",212-12l-sv,,6.50,5,4,4,3.5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14,print-position-1,"2 Färger (218-9)",218-9-sv,,3.50,2.50,2,1,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
15,print-position-1,"2 Färger (370-1)",370-1-sv,,5,5,4,3,2.5,2.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16,print-position-1,"2-4 Färger (350-1)",350-1-sv,,5,4,3,1.50,1,0.20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
17,print-position-1,"2-Färgs Transfer",5001-2,4,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18,print-position-1,"3 Färger (192)",192-sv,5,4.50,3.75,3.45,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19,print-position-1,"3 Färger (210-10-3S)",210-10-3s-sv,8,6,"4,50",4,"3,50","3,50","3,50",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20,print-position-1,"3 Färger (211-11-3M)",211-11-3m-sv,15,7,5,4.50,4,3.50,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21,print-position-1,"3 Färger (212-12-3L)",212-12-3l-sv,,11.50,7.50,6.50,6,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
22,print-position-1,"3-Färgs Transfer",5002-2,6,4,4,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23,print-position-1,"4 Färger (193)",193-sv,6,4.50,3.75,3.45,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24,print-position-1,"4 Färger (210-10-4S)",210-10-4s-sv,12,9,6,"5,50",5,"4,50","4,50",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
25,print-position-1,"4 Färger (211-11-4M)",211-11-4m-sv,20,10,7,6,5.50,4.50,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26,print-position-1,"4 Färger (212-12-4L)",212-12-4l-sv,,16,10.50,9,8,7,6.50,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27,print-position-1,"4-Färgs Transfer",5003-2,8,6,5,4,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
28,print-position-1,"Dekal inkluderad",dekal-inkluderad,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
29,print-position-1,"Doming Fullfärg (220-16)",220-16-sv,,8,3,1.50,1,1,0.50,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30,print-position-1,"Doming Fullfärg inkluderat (760)",760-sv,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
31,print-position-1,"Etikett (263-7)",263-7-sv,,10,4,2,2,1.50,1.50,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32,print-position-1,"Fullfärg (198)",198-sv,5,3.50,3.50,3.50,3.50,3.50,3.50,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
33,print-position-1,"Fullfärg (204-18)",204-18-sv,,10,10,9.50,9.50,9.50,9.50,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
34,print-position-1,"Fullfärg (208-20)",208-20-sv,,11.50,11.50,11,11,10.50,10.50,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
35,print-position-1,"Fullfärg (213-13S)",213-13s-sv,12,7,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
36,print-position-1,"Fullfärg (214-14M)",214-14m-sv,15,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
37,print-position-1,"Fullfärg (215-15L)",215-15l-sv,,11.50,11.50,11.50,11.50,11.50,11.50,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
38,print-position-1,"Fullfärg (219-19)",219-19-sv,,15,14,12,9.50,6.50,4.50,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
39,print-position-1,"Fullfärg (370-2)",370-2-sv,,8,5,4,3,2.50,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
40,print-position-1,"Fullfärg Inkluderat (730)",730-sv,,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
41,print-position-1,"Fullfärgs Transfer",5003-3,12,10,10,9,5,4,"3,50",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
