Id,Name,SKU,content,"Short Description",sku,category,"Gallery Image","Product Image",Download,Image,print-position-1,kop-fran,tariff-stat-nr,standardfarg,tryckyta,logo,material,kapacitet,vikt,dimensioner,certifikat,"price option 50","price option 100","price option 250","price option 500","price option 1000","price option 2500","price option 5000",print-position-2,order-from,tariff-stat-no,color,print-surface,weight,dimensions,certificate,ovrigt,bestall-fran,tryck-storlek,storlek,accessories,version,tariff-stat-nn,input,output,solar-laddning,packaging,capacity,print-position-3,own-design,farg,sizes
10,"Water Bottle GenerationRefillProAntibak L",340-AB.002,,"Dricksflaska i rostfritt stål tillverkad med dubbelvägg för att hålla kalla eller varma drycker i rätt temperatur. Vaccumisolerad vilket gör att den inte släpper in vare sig värme eller kyla i flaskan. Lockets insida är tillverkad med kopparisoleringsskikt som gör att drycken i flaskan inte läcker ut. Utsidan har en antibakteriell beläggning med silverjoner som eliminerar bakterier på ytan på ett tillförlitligt sätt under användning. Dricksflaskan kan även smidigt diskas i diskmaskinen och är dessutom läckagesäker. Det rostfria stålet kommer från återvunnet stål. Dricksflaskan rymmer 500ml.

The product is 35% Recycled Stainless steel",340-AB.002,Övrigt,https://www.usb.nu/wp-content/uploads/2024/02/340-AB.002.jpg,https://www.usb.nu/wp-content/uploads/2024/02/340-AB.002.jpg,,,"715-sv,dp-uv9,l7xl-2",50st,"96170000 000",Vit/Silver,40x40mm,Gravyr,"35% återvunnet rostfritt stål",-,308g,69x69x258mm,"Rohs,Emc",117,107,101,97,93,89,85,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,"Water Bottle GenerationRefillProAntibak L",340-AB.001,,"Dricksflaska i rostfritt stål tillverkad med dubbelvägg för att hålla kalla eller varma drycker i rätt temperatur. Vaccumisolerad vilket gör att den inte släpper in vare sig värme eller kyla i flaskan. Lockets insida är tillverkad med kopparisoleringsskikt som gör att drycken i flaskan inte läcker ut. Utsidan har en antibakteriell beläggning med silverjoner som eliminerar bakterier på ytan på ett tillförlitligt sätt under användning. Dricksflaskan kan även smidigt diskas i diskmaskinen och är dessutom läckagesäker. Det rostfria stålet kommer från återvunnet stål. Dricksflaskan rymmer 500ml.

Produkten är tillverkad av 35% återvunnet rostfritt stål.",340-AB.001,Övrigt,"https://www.usb.nu/wp-content/uploads/2024/02/345-AB.001-2-scaled.jpg,https://www.usb.nu/wp-content/uploads/2024/02/345-AB.001-scaled.jpg",https://www.usb.nu/wp-content/uploads/2024/02/340-AB.001-1-scaled.jpg,,,"715-sv,dp-uv9,l7xl-2",50st,"96170000 000",Svart/Silver,40x40mm,Gravyr,"35% återvunnet rostfritt stål",-,308g,69x69x258mm,"Rohs,Emc",117,107,101,97,93,89,85,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,"Thermos mug CremaOfficinaNero",347-00.001,,"Termosmugg i mattsvart färg. Termosmuggen rymmer 300ml är tillverkad med dubbelvägg och är vaccumisolerad vilket gör att den håller värmen inne i koppen och inte släpper ut värmen. Termosmuggen är pulverlackerad, och är läckagesäker. Både muggen och locket går att diska i diskmaskinen mellan användningen. Perfekt mugg att ha med i bilen, på resan eller varför inte på kontoret.

(LFBG-kompatibel betyder att alla tester är genomförda för att säkerställa att produkten inte innehåller några giftiga ämnen som är skadliga. Varken vid kontakt med människokroppen eller vid kontakt med livsmedel)

Produkten är tillverkad av 60% återvunnet rostfritt stål.",347-00.001,Övrigt,https://www.usb.nu/wp-content/uploads/2024/02/347-00.001.jpg,https://www.usb.nu/wp-content/uploads/2024/02/347-00.001.jpg,,,"725-sv,dp-uv9,tampo9",50st,"96170000 000",Svart/Svart,48x30mm,Gravyr,"60% återvunnet rostfritt stål, ABS",-,216g,147x75mm,"Rohs,Emc",112,103,94,90,86,83,80,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,"Thermos mug CremaExtensa",377-00.001,,"Vit termosmugg med svart lock, termosen rymmer 380ml och är tillverkad utav metall och plast. Håller drycken varm upp till 5 timmar när man är ute på språng. Locket på termosen är säkert mot läckage och håller både värmen och drycken kvar i termosen. Termosen tål att diskas i diskmaskin och är LFBG-kompatibel.

(LFBG-kompatibel betyder att alla tester är genomförda för att säkerställa att produkten inte innehåller några giftiga ämnen som är skadliga. Varken vid kontakt med människokroppen eller vid kontakt med livsmedel)

Produkten är tillverkad av 25% återvunnet rostfritt stål.",377-00.001,Övrigt,https://www.usb.nu/wp-content/uploads/2024/02/377-00.001-scaled.jpg,https://www.usb.nu/wp-content/uploads/2024/02/377-00.001-scaled.jpg,,,"725-sv,dp-uv9,tampo9",50st,"96170000 000",Vit/Svart,50x30mm,Gravyr,"25% återvunnet rostfritt stål, ABS",-,285g,210x74x74mm,"Rohs,Emc",110,100,94,89,86,82,79,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,"Thermos mug CremaExtensaProtect Titan",376-AB.012,,"Mattsvart Termosmugg som rymmer 380ml tillverkad av stål. Denna termosmugg håller din varma dryck varm upp till 5 timmar. Locket på termosen är säkert mot läckage och insidan med kopparisoleringsskikt gör att du inte riskerar att din varma dryck går till spillo.  Termosens utsida är pulverlackerad och klarar även att diskas i diskmaskinen mellan äventyren.

(LFBG-kompatibel betyder att alla tester är genomförda för att säkerställa att produkten inte innehåller några giftiga ämnen som är skadliga. Varken vid kontakt med människokroppen eller vid kontakt med livsmedel)

Produkten är tillverkad av 25% återvunnet rostfritt stål.",376-AB.012,Övrigt,https://www.usb.nu/wp-content/uploads/2024/02/376-AB.012-1-scaled.jpg,https://www.usb.nu/wp-content/uploads/2024/02/376-AB.012-1-scaled.jpg,,,"725-sv,dp-uv9,tampo9",50st,"96170000 000",Titan,50x30mm,Gravyr,"25% återvunnet rostfritt stål, ABS",-,285g,210x74x74mm,"Rohs,Emc",115,106,99,95,91,86,83,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15,"Thermos mug CremaExtensaNero",376-00.001,,"Mattsvart Termosmugg som rymmer 380ml tillverkad av stål. Denna termosmugg håller din varma dryck varm upp till 5 timmar. Locket på termosen är säkert mot läckage och insidan med kopparisoleringsskikt gör att du inte riskerar att din varma dryck går till spillo.  Termosens utsida är pulverlackerad och klarar även att diskas i diskmaskinen mellan äventyren.

(LFBG-kompatibel betyder att alla tester är genomförda för att säkerställa att produkten inte innehåller några giftiga ämnen som är skadliga. Varken vid kontakt med människokroppen eller vid kontakt med livsmedel)

Produkten är tillverkad av 25% återvunnet rostfritt stål.",376-00.001,Övrigt,"https://www.usb.nu/wp-content/uploads/2024/02/376-00.001-1-scaled.jpg,https://www.usb.nu/wp-content/uploads/2024/02/376-00.001-2-scaled.jpg",https://www.usb.nu/wp-content/uploads/2024/02/376-00.001-2-scaled.jpg,,,"725-sv,dp-uv9,tampo9",50st,"96170000 000",Svart,50x30mm,Gravyr,"25% återvunnet rostfritt stål, ABS",-,285g,210x74x74mm,"Rohs,Emc",114,104,97,93,89,86,82,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
16,"Mousepad Standard Sewed Edge",13730,,"Musmatta tillverkad med en baksida av naturgummi som ger en maximal kontaktyta mot ditt skrivbord och gör att du aldrig tappar fästet. Vår ultratäta fiberduk är specifikt framtagen för träffsäkerhet på pixelnivå. Tillsammans med mattans höga och täta textilkvalitet glider musen lätt och oförhindrat med en naturlig känsla över musmattan. Denna musmatta har som våra större gaming musmattor även sydda kanter. Vilket ger den lite exklusivare känslan och högre kvalitetskänsla.

Vi använder FSC sublimeringspapper, färgerna är vattenbaserade och OEKO-TEX Certifierade. Produceras in-house i Malmö

Under 50st begär pris.",13730,"Musmattor/Gaming,Nyheter",https://www.usb.nu/wp-content/uploads/2023/12/13730_Mousepad-Standard-Sewed-Edge_1-scaled.jpg,https://www.usb.nu/wp-content/uploads/2023/12/13730_Mousepad-Standard-Sewed-Edge_1-scaled.jpg,,,730-sv,"50 st",4016999790,"Benvit textil, svart gummibotten","Fullfärgstryck CMYK",Anpassad,Naturgummi/textil,-,80g,240x200x3mm,Reach,52,37,32,27,26,22,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17,"PD Fast Charging wall adapter Set 35W + 3A cable",16730,,"PD adapter set med en adapter på hela 35W. PD adapter med en output på hela 35W. USB-C PD laddning är en snabb laddningsfunktion som laddar din iPad eller nyare Smartphone extremt snabbt. På 30minuter laddar du upp din mobil till mer än 50% när adaptern är ihopkopplad med den medföljande sladden som har USB-C till Type C eller till Lightning-kontakten. Adapterns Type C/USB A uttag gör det möjligt att ladda två telefoner samtidigt och ändå få laddning snabbare på två enheter. Adaptern är förutom extremt snabb även i en perfekt storlek för att ta med sig när man är på språng. Kontakten är TUV/GS godkänd vilket garanterar marknadens hårdaste krav på säkerhet är fastställd. En säker produkt som är godkänd i hela EU.",16730,"Laddare/Sladdar,Nyheter","https://www.usb.nu/wp-content/uploads/2023/12/16730_PD-Fast-Charging-wall-adapter-Set-35W-3A-cable-1-scaled.jpg,https://www.usb.nu/wp-content/uploads/2023/12/15110_PD-35W-Fast-Charging-Wall-Adapter-4-1-scaled.jpg,https://www.usb.nu/wp-content/uploads/2023/12/16730_PD-Fast-Charging-wall-adapter-Set-35W-3A-cable-3-scaled.jpg,https://www.usb.nu/wp-content/uploads/2023/12/16730_PD-Fast-Charging-wall-adapter-Set-35W-3A-cable-4-scaled.jpg,https://www.usb.nu/wp-content/uploads/2023/12/16730_PD-Fast-Charging-wall-adapter-Set-35W-3A-cable-2-scaled.jpg",https://www.usb.nu/wp-content/uploads/2023/12/16730_PD-35W-Fast-Charging-Wall-Adapter-1417px-2.jpg,"<a href=""https://www.usb.nu/wp-content/uploads/2023/12/16730_PD-35W-Fast-Charging-Wall-Adapter_PIC.zip"" target=""_blank"" rel=""noopener"">16730_PD 35W Fast Charging Wall Adapter_PIC</a>

<a href=""https://www.usb.nu/wp-content/uploads/2023/12/16730_PD-Fast-Charging-wall-adapter-35W-SET_ARTW.pdf"" target=""_blank"" rel=""noopener"">16730_PD Fast Charging wall adapter 35W SET_ARTW</a>

<a href=""https://www.usb.nu/wp-content/uploads/2023/12/14282-Declaration-of-Conformity.pdf"">14282 Declaration of Conformity</a>

<a href=""https://www.usb.nu/wp-content/uploads/2023/12/15110-Declaration-of-Conformity-1.pdf"">15110 Declaration of Conformity</a>",,"715-sv,203-11m-sv","50 st",85044060900,"Svart eller Vit produkt",25x25mm,Screen,"Återvunnen plast",35W,142g,"104x72x38mm (svart box)","CE, Rohs,EMC and TUV",164,143,134,128,121,116,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
18,"QI15W Bamboo Diamond charger",17040,,"Precis som namnet är denna Qi laddare formad som en diamant och är tillverkad utav FSC bambu. Den har en styrka på 15W och laddar både snabbt, smidigt och enkelt upp din telefon utan att behöva ha tillgång till en sladd. Utsidan av Qi laddaren är tillverkad av miljövänlig FSC bambu och bidrar därmed till ett snällare och bättre alternativ för miljön. Loggan görs antingen i gravyr eller i silk print.",17040,"Laddare/Sladdar,Nyheter","https://www.usb.nu/wp-content/uploads/2023/12/17040_Qi-15W-Bamboo-Diamond-Charger_2-scaled.jpg,https://www.usb.nu/wp-content/uploads/2023/12/no-background-2-scaled.jpg",https://www.usb.nu/wp-content/uploads/2023/12/17040_Qi-15W-Bamboo-Diamond-Charger_1_1417px.jpg,"<a href=""https://www.usb.nu/wp-content/uploads/2023/12/17040-Declaration-of-Conformity.pdf"">17040 Declaration of Conformity</a>",,"720-sv,203-11m-sv,211-11-3m-sv,211-11-4m-sv","100 st",8504409590,Bambu,60x45mm,"Gravyr, Silk","FSC Bambu",15W,70g,98x86x21mm,"CE, Rohs, EMC",,123,108,99,92,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19,"5in1 Retractable Spin cable small",14659,,"En smidig kabel som varken tar plats eller trasslar ihop sig. Sladden ryms i sin kabelvinda när den inte används. Kabeln är utdragbar och har en maxlängd på 0,8 meter. Vilket ger den en bra längd för kontoret eller att ha med på äventyr och resor.",14659,"Laddare/Sladdar,Nyheter","https://www.usb.nu/wp-content/uploads/2023/12/14659_5in1-Retractable-Spin-cable-9.jpg,https://www.usb.nu/wp-content/uploads/2023/12/14659_5in1-Retractable-Spin-cable-8.jpg,https://www.usb.nu/wp-content/uploads/2023/12/14659_5in1-Retractable-Spin-cable-3-scaled.jpg,https://www.usb.nu/wp-content/uploads/2023/12/14659_5in1-Retractable-Spin-cable-7-scaled.jpg,https://www.usb.nu/wp-content/uploads/2023/12/14659_5in1-Retractable-Spin-cable-2-scaled.jpg,https://www.usb.nu/wp-content/uploads/2023/12/14659_5in1-Retractable-Spin-cable-1-scaled.jpg,https://www.usb.nu/wp-content/uploads/2023/12/14659_5in1-Retractable-Spin-cable-4-scaled.jpg",https://www.usb.nu/wp-content/uploads/2023/12/14659_5in1-Retractable-Spin-cable-0-scaled.jpg,"<a href=""https://www.usb.nu/wp-content/uploads/2023/12/14659_5in1-Retractable-Spin-cable_PIC-2.zip"" target=""_blank"" rel=""noopener"">14659_5in1 Retractable Spin cable_PIC</a>

<a href=""https://www.usb.nu/wp-content/uploads/2023/12/14659_5in1-Retractable-Spin-cable_Black_White_ARTW.pdf"" target=""_blank"" rel=""noopener"">14659_5in1 Retractable Spin cable_Black_White_ARTW</a>

<a href=""https://www.usb.nu/wp-content/uploads/2023/12/14659-Declaration-of-Conformity.pdf"">14659 Declaration of Conformity</a>",,"715-sv,210-10s-sv,210-10-3s-sv,210-10-4s-sv,213-13s-sv","100 st",8544429090,"Svart eller Vit",36x36mm,"Silk tryck","ABS, PC",3A,36g,"Maxlängd 80 cm","Rohs,Emc",,41,38,33,32,30,,"7002-sv,264-10s-sv",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
