Id,Name,SKU,content,"Short Description",sku,category,"Gallery Image","Product Image",Download,Image,print-position-1,print-position-2,packaging,kop-fran,tariff-stat-nr,standardfarg,tryckyta,logo,material,kapacitet,vikt,dimensioner,version,certifikat,"original-64 GB-50","original-64 GB-100","original-64 GB-250","original-64 GB-500","original-64 GB-1000","original-64 GB-2500","original-64 GB-5000","original-128 GB-50","original-128 GB-100","original-128 GB-250","original-128 GB-500","original-128 GB-1000","original-128 GB-2500","original-128 GB-5000","original-256 GB-50","original-256 GB-100","original-256 GB-250","original-256 GB-500","original-256 GB-1000","original-256 GB-2500","original-256 GB-5000","original-512 GB-50","original-512 GB-100","original-512 GB-250","original-512 GB-500","original-512 GB-1000","original-512 GB-2500","original-512 GB-5000",original-1TB-50,original-1TB-100,original-1TB-250,original-1TB-500,original-1TB-1000,original-1TB-2500,original-1TB-5000,"original-4 GB-50","original-4 GB-100","original-4 GB-250","original-4 GB-500","original-4 GB-1000","original-4 GB-2500","original-4 GB-5000","original-8 GB-50","original-8 GB-100","original-8 GB-250","original-8 GB-500","original-8 GB-1000","original-8 GB-2500","original-8 GB-5000","original-16 GB-50","original-16 GB-100","original-16 GB-250","original-16 GB-500","original-16 GB-1000","original-16 GB-2500","original-16 GB-5000","original-32 GB-50","original-32 GB-100","original-32 GB-250","original-32 GB-500","original-32 GB-1000","original-32 GB-2500","original-32 GB-5000",accessories,"oem-tlc-1 GB-50","oem-tlc-1 GB-100","oem-tlc-1 GB-250","oem-tlc-1 GB-500","oem-tlc-1 GB-1000","oem-tlc-1 GB-2500","oem-tlc-1 GB-5000","oem-tlc-2 GB-50","oem-tlc-2 GB-100","oem-tlc-2 GB-250","oem-tlc-2 GB-500","oem-tlc-2 GB-1000","oem-tlc-2 GB-2500","oem-tlc-2 GB-5000","oem-tlc-4 GB-50","oem-tlc-4 GB-100","oem-tlc-4 GB-250","oem-tlc-4 GB-500","oem-tlc-4 GB-1000","oem-tlc-4 GB-2500","oem-tlc-4 GB-5000","oem-tlc-8 GB-50","oem-tlc-8 GB-100","oem-tlc-8 GB-250","oem-tlc-8 GB-500","oem-tlc-8 GB-1000","oem-tlc-8 GB-2500","oem-tlc-8 GB-5000","oem-tlc-16 GB-50","oem-tlc-16 GB-100","oem-tlc-16 GB-250","oem-tlc-16 GB-500","oem-tlc-16 GB-1000","oem-tlc-16 GB-2500","oem-tlc-16 GB-5000","oem-tlc-32 GB-50","oem-tlc-32 GB-100","oem-tlc-32 GB-250","oem-tlc-32 GB-500","oem-tlc-32 GB-1000","oem-tlc-32 GB-2500","oem-tlc-32 GB-5000","oem-tlc-64 GB-50","oem-tlc-64 GB-100","oem-tlc-64 GB-250","oem-tlc-64 GB-500","oem-tlc-64 GB-1000","oem-tlc-64 GB-2500","oem-tlc-64 GB-5000","oem_mlc-1 GB-50","oem_mlc-1 GB-100","oem_mlc-1 GB-250","oem_mlc-1 GB-500","oem_mlc-1 GB-1000","oem_mlc-1 GB-2500","oem_mlc-1 GB-5000","oem_mlc-2 GB-50","oem_mlc-2 GB-100","oem_mlc-2 GB-250","oem_mlc-2 GB-500","oem_mlc-2 GB-1000","oem_mlc-2 GB-2500","oem_mlc-2 GB-5000","oem_mlc-4 GB-50","oem_mlc-4 GB-100","oem_mlc-4 GB-250","oem_mlc-4 GB-500","oem_mlc-4 GB-1000","oem_mlc-4 GB-2500","oem_mlc-4 GB-5000","oem_mlc-8 GB-50","oem_mlc-8 GB-100","oem_mlc-8 GB-250","oem_mlc-8 GB-500","oem_mlc-8 GB-1000","oem_mlc-8 GB-2500","oem_mlc-8 GB-5000","oem_mlc-16 GB-50","oem_mlc-16 GB-100","oem_mlc-16 GB-250","oem_mlc-16 GB-500","oem_mlc-16 GB-1000","oem_mlc-16 GB-2500","oem_mlc-16 GB-5000","oem_mlc-32 GB-50","oem_mlc-32 GB-100","oem_mlc-32 GB-250","oem_mlc-32 GB-500","oem_mlc-32 GB-1000","oem_mlc-32 GB-2500","oem_mlc-32 GB-5000","oem_mlc-64 GB-50","oem_mlc-64 GB-100","oem_mlc-64 GB-250","oem_mlc-64 GB-500","oem_mlc-64 GB-1000","oem_mlc-64 GB-2500","oem_mlc-64 GB-5000","original-1 GB-50","original-1 GB-100","original-1 GB-250","original-1 GB-500","original-1 GB-1000","original-1 GB-2500","original-1 GB-5000","original-2 GB-50","original-2 GB-100","original-2 GB-250","original-2 GB-500","original-2 GB-1000","original-2 GB-2500","original-2 GB-5000"
10,"SafeXs Guardian 2.0",222,"Safexs Guardian 2,0 är ett super låg kostnads USB-minne en snabb, liten och portabel USB 2.0 flash-enhet som skyddar dina känsliga data. Det är lätt att använda Safexs Guardian med det enkla dra och släpp gränssnitt, som gör det möjligt att flytta filer och mappar mellan PC och Mac enkelt o säkert https://youtu.be/8ELzcBY6-oA","Safexs Guardian 2,0 är ett super låg kostnads USB-minne en snabb, liten och portabel USB 2.0 flash-enhet som skyddar dina känsliga data. Det är lätt att använda Safexs Guardian med det enkla dra och släpp gränssnitt, som gör det möjligt att flytta filer och mappar mellan PC och Mac enkelt o säkert https://youtu.be/8ELzcBY6-oA",222,"SafeXs,USB-minnen","https://www.usb.nu/wp-content/uploads/2019/06/15bb7b8a1f254e.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b8a285c0b.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b8a322f38.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b8a3abe84.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b8a44700a.jpg",https://www.usb.nu/wp-content/uploads/2019/06/15bb7b8a16b997.jpg,"<a href=""http://www.usb.nu/wp-content/uploads/2019/06/SafeXs-Guardian-20-Pictures.zip"" target=""_blank"" rel=""noopener"">SafeXs Guardian 20 Pictures</a>",,"720-sv,191-sv,192-sv,193-sv,198-sv","194-sv,261-2b-sv,195-sv,196-sv,197-sv,199-sv","453-sv,452-sv,456-sv,901-sv","100 st",8523511000,Silver,84x52mm,"Fullfärgstryck, tampo",Polykarbonat,4GB-64GB,"19 g","84x52,5x1,5mm","USB 2.0",Rohs,365,362,359,355,352,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,101,99,97,95,92,,,120,122,119,116,112,,,207,203,199,195,191,,,"552-sv,karbinhake,650-sv,651-sv,551-sv",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,"SafeXs Guardian 3.0",333,"SafeXs Guardian 3.0 är en snabb, liten och portabel USB 3.0 flash-enhet som skyddar din känsliga data. Det är lätt att använda SafeXs Guardian med det enkla dra och släpp gränssnittet, som gör det möjligt att flytta filer och mappar mellan PC och Mac enkelt och säkert. https://youtu.be/8ELzcBY6-oA","SafeXs Guardian 3.0 är en snabb, liten och portabel USB 3.0 flash-enhet som skyddar din känsliga data. Det är lätt att använda SafeXs Guardian med det enkla dra och släpp gränssnittet, som gör det möjligt att flytta filer och mappar mellan PC och Mac enkelt och säkert. https://youtu.be/8ELzcBY6-oA",333,"SafeXs,USB-minnen","https://www.usb.nu/wp-content/uploads/2019/06/15bb7b89e07235.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b89e9945d.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b89f2860f.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b89fa8a83.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b8a042d64.jpg",https://www.usb.nu/wp-content/uploads/2019/06/15bb7b89d68559.jpg,,,"201-1a-sv,198-sv","194-sv,261-2b-sv,199-sv",-,"100 st",8523511000,"Svart, röd",84x52mm,"Fullfärgstryck, tampo",Polykarbonat,4GB-64GB,"19 g","84x52,5x1,5mm","USB 2.0",Rohs,492,489,486,479,475,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,162,159,156,153,149,,,192,189,186,183,179,,,295,292,289,286,282,,,"552-sv,karbinhake,650-sv,651-sv,551-sv",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,"SafeXs Guardian XT",444,"SafeXs Guardian XT är en snabb, liten och portabel USB 3.0 flash-enhet tillverkad av en stark Zink/alloy blandning som skyddar din känsliga data. Med SafeXs Guardian XT är lätt att använda med ett enkelt dra och släpp-gränssnitt, som gör det möjligt att flytta filer och mappar mellan PC och Mac enkelt och säkert. https://youtu.be/8ELzcBY6-oA","SafeXs Guardian XT är en snabb, liten och portabel USB 3.0 flash-enhet tillverkad av en stark Zink/alloy blandning som skyddar din känsliga data. Med SafeXs Guardian XT är lätt att använda med ett enkelt dra och släpp-gränssnitt, som gör det möjligt att flytta filer och mappar mellan PC och Mac enkelt och säkert. https://youtu.be/8ELzcBY6-oA",444,"SafeXs,USB-minnen","https://www.usb.nu/wp-content/uploads/2019/06/15bb7b89a370c4.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b89ac1329.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b89b3eb74.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b89bcb59b.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b89c4f137.jpg",https://www.usb.nu/wp-content/uploads/2019/06/15bb7b899aedfe.jpg,,,201-1a-sv,261-2b-sv,-,"100 st",8523511000,Silver,84x52mm,"Fullfärgstryck, tampo",Polykarbonat,4GB-64GB,"19 g","84x52,5x1,5mm","USB 2.0",Rohs,257,253,250,247,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,143,139,137,135,,,,176,173,169,165,,,,188,182,179,176,,,,"552-sv,karbinhake,650-sv,651-sv,551-sv",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,"SafeXs Protector 3.0",555,"SafeXs Protector 3.0 är ett portabelt data skydds verktyg som skyddar dina känsliga data från obehörig åtkomst och oavsiktlig förlust, med inbyggd funktion som krypterad backup, säker fildelning, datorskydd och automatisk destruct inställningar gör att SafeXs Protector 3.0 skyddar dina data som inget annat USB idag kan. https://youtu.be/8ELzcBY6-oA","SafeXs Protector 3.0 är ett portabelt data skydds verktyg som skyddar dina känsliga data från obehörig åtkomst och oavsiktlig förlust, med inbyggd funktion som krypterad backup, säker fildelning, datorskydd och automatisk destruct inställningar gör att SafeXs Protector 3.0 skyddar dina data som inget annat USB idag kan. https://youtu.be/8ELzcBY6-oA",555,"SafeXs,USB-minnen","https://www.usb.nu/wp-content/uploads/2019/06/15bb7b89665db4.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b896f1a9f.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b8977d1d4.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b8980f855.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b89893276.jpg",https://www.usb.nu/wp-content/uploads/2019/06/15bb7b895d5efb.jpg,,,201-1a-sv,261-2b-sv,-,"100 st",8523511000,Svart,84x52mm,"Fullfärgstryck, tampo",Polykarbonat,4GB-64GB,"19 g","84x52,5x1,5mm","USB 2.0",Rohs,556,551,547,542,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,176,173,169,165,,,,199,195,191,188,,,,282,279,276,271,,,,364,260,357,353,,,,"552-sv,karbinhake,650-sv,651-sv,551-sv",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,"Rio USB",13574,"Stilrent minne i borstad aluminium. Färgad silikondetalj med nyckelring för fäste i t.ex nyckelknippan. Finns i en mängd olika färger.","Stilrent minne i borstad aluminium. Färgad silikondetalj med nyckelring för fäste i t.ex nyckelknippan. Finns i en mängd olika färger.",13574,USB-minnen,"https://www.usb.nu/wp-content/uploads/2019/06/15bb7b87fbe8e2.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b8804103e.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b880c0b69.jpg",https://www.usb.nu/wp-content/uploads/2019/06/15bb7b87f39db7.jpg,"<a href=""https://www.usb.nu/wp-content/uploads/2019/06/Rio-Pictures.zip"">Rio Pictures</a>

<a href=""https://www.usb.nu/wp-content/uploads/2019/06/Rio-Simulation-20161229.pdf"">Rio Simulation 20161229</a>",,"720-sv,191-sv,192-sv,193-sv,198-sv","194-sv,261-2b-sv,195-sv,196-sv,197-sv,199-sv","453-sv,452-sv,456-sv,455-sv,901-sv","100 st",8523511000,"Vit, svart, blå, röd, grön, orange, rosa, lila",84x52mm,"Fullfärgstryck, tampo",Polykarbonat,4GB-64GB,"19 g","84x52,5x1,5mm","USB 2.0",Rohs,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,33,32,31,30,29,28,0.0,34,33,32,31,30,29,0.0,35,34,33,32,31,30,0.0,39,38,37,36,35,34,"552-sv,karbinhake,650-sv,651-sv,551-sv",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,29,28,27,26,25,0.0,31,30,29,28,27,26,0.0,32,31,30,29,28,27,0.0,33,32,31,30,29,28,0.0,34,33,32,31,30,29,-,-,-,-,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,30,29,28,27,26,0.0,32,31,30,29,28,27,0.0,33,32,31,30,29,28,0.0,34,33,32,31,30,29,0.0,35,34,33,32,31,30,-,-,-,-,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,31,30,29,28,27
15,"Chicago USB",13573,"Stilrent minne i borstad aluminium med ögla för fäste i t.ex nyckelknippan.","Stilrent minne i borstad aluminium med ögla för fäste i t.ex nyckelknippan.",13573,USB-minnen,"https://www.usb.nu/wp-content/uploads/2019/06/15bb7b87d7b19c.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b87e0fc0e.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b87e9f056.jpg",https://www.usb.nu/wp-content/uploads/2019/06/15bb7b87ce07a3.jpg,"<a href=""http://www.usb.nu/wp-content/uploads/2019/06/Chicago-Pictures.zip"">Chicago Pictures</a>

&nbsp;

&nbsp;

<a href=""https://www.usb.nu/wp-content/uploads/2019/06/Chicago-Simulation-20161229.pdf"">Chicago Simulation 20161229</a>",,"720-sv,191-sv,192-sv,193-sv,198-sv","194-sv,195-sv,196-sv,197-sv,199-sv","556-sv,411-sv,453-sv,452-sv,456-sv,455-sv,901-sv","100 st",8523511000,Silver,84x52mm,"Fullfärgstryck, tampo",Polykarbonat,4GB-64GB,"19 g","84x52,5x1,5mm","USB 2.0",Rohs,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,32,31,30,29,28,27,0.0,33,32,31,30,29,28,0.0,38,37,36,35,34,33,0.0,44,42,41,40,39,38,"552-sv,karbinhake,650-sv,651-sv,551-sv",0.0,26,25,24,23,22,21,0.0,27,26,25,24,23,22,0.0,30,29,28,27,26,25,0.0,31,30,29,28,27,26,0.0,36,35,34,33,32,31,0.0,42,41,40,39,38,37,-,-,-,-,-,-,-,0.0,27,26,25,24,23,22,0.0,28,27,26,25,24,23,0.0,31,30,29,28,27,26,0.0,32,31,30,29,28,27,0.0,37,36,35,34,33,32,0.0,43,42,41,40,39,38,-,-,-,-,-,-,-,0.0,28,27,26,25,24,23,0.0,29,28,27,26,25,24
16,"Logoband USB",10180,"En kombination av snyggt och händigt lanyard och USB minne. Loggan sätter man på clipet. Alternativt även kombinerat på bandet. Clipen finns i svart resp. vit färg.","En kombination av snyggt och händigt lanyard och USB minne. Loggan sätter man på clipet. Alternativt även kombinerat på bandet. Clipen finns i svart resp. vit färg.",10180,USB-minnen,"https://www.usb.nu/wp-content/uploads/2019/06/15bb7b7bce7a20.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b7bd8becd.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b7be29b12.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b7beb8320.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b7bf4ff04.jpg",https://www.usb.nu/wp-content/uploads/2019/06/15bb7b7bc58f52.jpg,"<a href=""http://www.usb.nu/wp-content/uploads/2019/06/Lanyard-USB-Pictures.zip"">Lanyard USB Pictures</a>",,"720-sv,191-sv,192-sv,193-sv,198-sv","194-sv,195-sv,196-sv,197-sv,199-sv",-,"100 st",8523511000,"Vit, gul, svart, blå, röd, grönt band, Spänne i vit eller svart.",84x52mm,"Fullfärgstryck, tampo",Polykarbonat,4GB-64GB,"19 g","84x52,5x1,5mm","USB 2.0",Rohs,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,43,42,41,40,39,38,0.0,47,46,45,44,43,42,0.0,49,48,47,46,45,44,0.0,80,79,78,77,74,72,-,0.0,32,31,30,29,28,27,0.0,33,32,31,30,29,28,0.0,34,33,32,31,30,29,0.0,36,35,34,33,32,31,0.0,37,36,35,34,33,32,0.0,46,45,44,43,42,41,-,-,-,-,-,-,-,0.0,37,36,35,34,33,32,0.0,38,37,36,35,34,33,0.0,39,38,37,36,35,34,0.0,41,40,39,38,37,36,0.0,42,41,40,39,38,37,0.0,52,51,50,49,48,47,-,-,-,-,-,-,-,0.0,41,40,39,38,37,36,0.0,42,41,40,39,38,37
17,"Oval USB",10021,"Tilltalande design gör OVAL till en storsäljare. finns i flera färger. Tar inte stor plats i USB porten. Bra tryckyta - lämplig för både tryck och gravyr.","Tilltalande design gör OVAL till en storsäljare. finns i flera färger. Tar inte stor plats i USB porten. Bra tryckyta - lämplig för både tryck och gravyr.",10021,USB-minnen,"https://www.usb.nu/wp-content/uploads/2019/06/15bb7b86584dde.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b866225ba.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b866bed01.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b8675a47f.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b867e562f.jpg",https://www.usb.nu/wp-content/uploads/2019/06/15bb7b864e64aa.jpg,"<a href=""http://www.usb.nu/wp-content/uploads/2019/06/Oval-Pictures.zip"">Oval Pictures</a>

<a href=""https://www.usb.nu/wp-content/uploads/2019/06/Oval-Simulation-20150903.pdf"">Oval Simulation 20150903</a>",,"720-sv,191-sv,192-sv,193-sv,198-sv","194-sv,195-sv,196-sv,197-sv,199-sv","453-sv,452-sv,456-sv,455-sv,901-sv","100 st",8523511000,"Silver, vit, svart, blå,röd, grön,  transparent",84x52mm,"Fullfärgstryck, tampo",Polykarbonat,4GB-64GB,"19 g","84x52,5x1,5mm","USB 2.0",Rohs,0.0,106,105,102,100,98,96,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,40,39,38,37,36,35,0.0,44,43,42,41,40,39,0.0,46,45,44,43,42,41,0.0,77,76,75,74,73,72,"552-sv,karbinhake,650-sv,651-sv,551-sv",0.0,30,29,28,27,26,25,0.0,31,30,29,28,27,26,0.0,32,31,30,29,28,27,0.0,33,32,31,30,29,28,0.0,34,33,32,31,30,29,0.0,43,42,41,40,39,38,0.0,63,62,61,60,59,58,0.0,34,33,32,31,30,29,0.0,35,34,33,32,31,30,0.0,36,35,34,33,32,31,0.0,38,37,36,35,34,33,0.0,39,38,37,36,35,34,0.0,49,48,47,46,45,44,0.0,69,68,67,66,65,64,0.0,38,37,36,35,34,33,0.0,39,38,37,36,35,34
18,"ECO cork USB",11224,,"Det verkligt miljövänliga USB minnet. Håller sig alltid flytande. Med anledning av den naturliga och något ojämna ytan lämpar det sig bäst med logga med inte alltför små detaljer. Kan även förses med dominglogga i toppen.",11224,USB-minnen,"https://www.usb.nu/wp-content/uploads/2019/06/15bb7b80f5a994.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b80feede7.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b81083759.jpg",https://www.usb.nu/wp-content/uploads/2019/06/15bb7b80e9f2db.jpg,"<a href=""http://www.usb.nu/wp-content/uploads/2019/06/ECO-Cork-Pictures.zip"">ECO Cork Pictures</a>

&nbsp;

&nbsp;

<a href=""https://www.usb.nu/wp-content/uploads/2019/06/ECO-Cork-Simulation-20180411.pdf"">ECO Cork Simulation 20180411</a>",,715-sv,194-sv,-,"100 st",8523511000,"Kork färgad",84x52mm,"Fullfärgstryck, tampo",Polykarbonat,4GB-64GB,"19 g","84x52,5x1,5mm","USB 2.0",Rohs,0.0,112,111,108,105,103,101,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,46,45,44,43,42,41,0.0,50,49,48,47,46,45,0.0,52,51,50,49,48,47,0.0,83,82,80,78,76,75,-,0.0,35,34,33,32,31,30,0.0,36,35,34,33,32,31,0.0,37,36,35,34,33,32,0.0,39,38,37,36,35,34,0.0,40,39,38,37,36,35,0.0,49,48,47,46,45,44,-,-,-,-,-,-,-,0.0,40,39,38,37,36,35,0.0,41,40,39,38,37,36,0.0,41,40,39,38,37,36,0.0,44,43,42,41,40,39,0.0,45,44,43,42,41,40,0.0,54,53,52,51,50,49,0.0,75,74,72,70,69,68,0.0,44,43,42,41,40,39,0.0,45,44,43,42,41,40
19,"Mini twist USB",10116,"Ett litet och smidigt twist USB minne. Kan kompletteras med en nyckelring eller varför inte använda det som ett mobilsmycke?","Ett litet och smidigt twist USB minne. Kan kompletteras med en nyckelring eller varför inte använda det som ett mobilsmycke?",10116,USB-minnen,"https://www.usb.nu/wp-content/uploads/2019/06/15bb7b7777ce4c.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b7782364b.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b778b3035.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b7794a412.jpg",https://www.usb.nu/wp-content/uploads/2019/06/15bb7b776e2870.jpg,"<a href=""http://www.usb.nu/wp-content/uploads/2019/06/Mini-Twist-Pictures.zip"">Mini Twist Pictures</a>

<a href=""https://www.usb.nu/wp-content/uploads/2019/06/Mini-Simulation-20150917_art-no-20060.pdf"">Mini Simulation 20150917_art no 20060</a>",,"720-sv,191-sv,192-sv,193-sv,198-sv","194-sv,195-sv,196-sv,197-sv,199-sv","457-sv,453-sv,452-sv,456-sv,901-sv","100 st",8523511000,"Silver, vit, svart, blå, röd, grön",84x52mm,"Fullfärgstryck, tampo",Polykarbonat,4GB-64GB,"19 g","84x52,5x1,5mm","USB 2.0",Rohs,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,30,29,28,27,26,25,0.0,31,30,29,28,27,26,0.0,32,31,30,29,28,27,0.0,35,34,33,32,31,30,"552-sv,karbinhake,650-sv,651-sv,551-sv",0.0,26,25,24,23,22,21,0.0,27,26,25,24,23,22,0.0,28,27,26,25,24,23,0.0,29,28,27,26,25,24,0.0,30,29,28,27,26,25,0.0,32,31,30,29,28,27,-,-,-,-,-,-,-,0.0,27,26,25,24,23,22,0.0,28,27,26,25,24,23,0.0,29,28,27,26,25,24,0.0,30,29,28,27,26,25,0.0,31,30,29,28,27,26,0.0,33,32,31,30,29,28,-,-,-,-,-,-,-,0.0,28,27,26,25,24,23,0.0,29,28,27,26,25,24
20,"Bean USB",20032,"Ett häftigt USB minne med dubbel tryckyta. Det matta och silkeslena minnet ger ett exklusivt och sobert intryck.","Ett häftigt USB minne med dubbel tryckyta. Det matta och silkeslena minnet ger ett exklusivt och sobert intryck.",20032,USB-minnen,"https://www.usb.nu/wp-content/uploads/2019/06/15bb7b769a5de1.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b76a3e395.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b76ad475b.jpg,https://www.usb.nu/wp-content/uploads/2019/06/15bb7b76b699de.jpg",https://www.usb.nu/wp-content/uploads/2019/06/15bb7b76923096.jpg,"<a href=""http://www.usb.nu/wp-content/uploads/2019/06/Bean-Pictures.zip"" download="""">Bean Pictures</a>

&nbsp;

<a href=""https://www.usb.nu/wp-content/uploads/2019/06/Bean-Simulation-20150403.pdf"">Bean Simulation 20150403</a>",,"720-sv,191-sv,192-sv,193-sv,198-sv","194-sv,195-sv,196-sv,197-sv,199-sv","556-sv,411-sv,453-sv,452-sv,456-sv,901-sv","100 st",8523511000,"Vit, svart, blå, röd, grön",84x52mm,"Fullfärgstryck, tampo",Polykarbonat,4GB-64GB,"19 g","84x52,5x1,5mm","USB 2.0",Rohs,0.0,106,105,102,100,98,96,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,40,39,38,37,36,35,0.0,44,43,42,41,40,39,0.0,46,45,44,43,42,41,0.0,77,76,75,74,73,72,"552-sv,karbinhake,650-sv,651-sv,551-sv",0.0,30,29,28,27,26,25,0.0,31,30,29,28,27,26,0.0,32,31,30,29,28,27,0.0,33,32,31,30,29,28,0.0,34,33,32,31,30,29,0.0,43,42,41,40,39,38,0.0,63,62,61,60,59,58,0.0,34,33,32,31,30,29,0.0,35,34,33,32,31,30,0.0,36,35,34,33,32,31,0.0,38,37,36,35,34,33,0.0,39,38,37,36,35,34,0.0,49,48,47,46,45,44,0.0,69,68,67,66,65,64,0.0,38,37,36,35,34,33,0.0,39,38,37,36,35,34
