id,Attributes,Name,Slug,Quantity-50,Quantity-100,Quantity-250,Quantity-500,Quantity-1000,Quantity-2500,Quantity5000,"ocm-tlc-1 GB-50","ocm-tlc-1 GB-100","ocm-tlc-1 GB-250","ocm-tlc-1 GB-500","ocm-tlc-1 GB-1000","ocm-tlc-1 GB-2500","ocm-tlc-1 GB-5000","ocm-tlc-2 GB-50","ocm-tlc-2 GB-100","ocm-tlc-2 GB-250","ocm-tlc-2 GB-500","ocm-tlc-2 GB-1000","ocm-tlc-2 GB-2500","ocm-tlc-2 GB-5000",ocm-tlc--50,ocm-tlc--100,ocm-tlc--250,ocm-tlc--500,ocm-tlc--1000,ocm-tlc--2500,ocm-tlc--5000,"ocm-mlc-1 GB-50","ocm-mlc-1 GB-100","ocm-mlc-1 GB-250","ocm-mlc-1 GB-500","ocm-mlc-1 GB-1000","ocm-mlc-1 GB-2500","ocm-mlc-1 GB-5000","ocm-mlc-2 GB-50","ocm-mlc-2 GB-100","ocm-mlc-2 GB-250","ocm-mlc-2 GB-500","ocm-mlc-2 GB-1000","ocm-mlc-2 GB-2500","ocm-mlc-2 GB-5000",ocm-mlc--50,ocm-mlc--100,ocm-mlc--250,ocm-mlc--500,ocm-mlc--1000,ocm-mlc--2500,ocm-mlc--5000,"original-1 GB-50","original-1 GB-100","original-1 GB-250","original-1 GB-500","original-1 GB-1000","original-1 GB-2500","original-1 GB-5000","original-2 GB-50","original-2 GB-100","original-2 GB-250","original-2 GB-500","original-2 GB-1000","original-2 GB-2500","original-2 GB-5000",original--50,original--100,original--250,original--500,original--1000,original--2500,original--5000
6,print-position-2,"2 Colour (209-12-2L)",209-12-2l,0,0,0,0,0,0,0,1,2,3,4,5,6,7,1,2,3,4,5,6,7,3,3,3,3,3,3,3,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3
7,print-position-2,"2 Colour (264-10S)",264-10s,,4,"3,50","2,50",2,"1,50",1,1,2,3,4,5,6,7,1,2,3,4,5,6,7,3,3,3,3,3,3,3,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3
8,print-position-2,"2 Colour (265-11M)",265-11m,,4,3,2.5,2.5,2,2,1,2,3,4,5,6,7,1,2,3,4,5,6,7,3,3,3,3,3,3,3,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3
9,print-position-2,"2 Colour (266-12L)",266-12l,,6.5,5,4,4,3.5,3,1,2,3,4,5,6,7,1,2,3,4,5,6,7,3,3,3,3,3,3,3,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3
10,print-position-2,"3 Colour (196)",196,,4.50,3.75,3.45,3,3,3,1,2,3,4,5,6,7,1,2,3,4,5,6,7,3,3,3,3,3,3,3,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3
11,print-position-2,"3 Colour (264-10-3S)",264-10-3s,,6,"4,50",4,"3,50","3,50","3,50",1,2,3,4,5,6,7,1,2,3,4,5,6,7,3,3,3,3,3,3,3,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3
12,print-position-2,"3 Colour (265-11-3M)",265-11-3m,,7,5,4.50,4,3.50,3,1,2,3,4,5,6,7,1,2,3,4,5,6,7,3,3,3,3,3,3,3,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3
13,print-position-2,"3 Colour (266-12-3L)",266-12-3l,,11.50,7.50,6.50,6,5,5,1,2,3,4,5,6,7,1,2,3,4,5,6,7,3,3,3,3,3,3,3,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3
14,print-position-2,"4 Colour (197)",197,,6,5,4.50,4,4,4,1,2,3,4,5,6,7,1,2,3,4,5,6,7,3,3,3,3,3,3,3,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3
15,print-position-2,"4 Colour (264-10-4S)",264-10-4s,,9,6,"5,50",5,"4,50","4,50",1,2,3,4,5,6,7,1,2,3,4,5,6,7,3,3,3,3,3,3,3,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3
16,print-position-2,"4 Colour (265-11-4M)",265-11-4m,,10,7,6,5.50,4.50,4,1,2,3,4,5,6,7,1,2,3,4,5,6,7,3,3,3,3,3,3,3,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3
17,print-position-2,"4 Colour (266-12-4L)",266-12-4l,,16,10.50,9,8,7,6.50,1,2,3,4,5,6,7,1,2,3,4,5,6,7,3,3,3,3,3,3,3,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3
18,print-position-2,"Embossing extra position",202-2,7,4,2,2,1,1,1,1,2,3,4,5,6,7,1,2,3,4,5,6,7,3,3,3,3,3,3,3,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3
19,print-position-2,"Engraving (261-2b-2)",engraving-261-2b-2,,2.5,1.5,1.5,1.5,1,1,1,2,3,4,5,6,7,1,2,3,4,5,6,7,3,3,3,3,3,3,3,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3
20,print-position-2,"Full Colour (199)",199,,3.50,3.50,3.50,3.50,3.50,3.50,1,2,3,4,5,6,7,1,2,3,4,5,6,7,3,3,3,3,3,3,3,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3
